"filename", "language", "JSON", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/modules/results/large_ent.json", "JSON", 122, 0, 0, 0, 1, 123
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/modules/results/lms.json", "JSON", 41, 0, 0, 0, 1, 42
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/modules/results/medium_ent.json", "JSON", 122, 0, 0, 0, 1, 123
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/modules/results/mock-results.js", "JavaScript", 0, 309, 0, 0, 1, 310
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/modules/results/pm.json", "JSON", 41, 0, 0, 0, 1, 42
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/modules/results/results-old.js", "JavaScript", 0, 2674, 0, 0, 1, 2675
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/modules/results/results-scrubber.js", "JavaScript", 0, 45, 0, 25, 6, 76
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/modules/results/results.jsx", "JavaScript JSX", 0, 0, 13070, 0, 2, 13072
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/modules/results/scoring-service.js", "JavaScript", 0, 92, 0, 18, 14, 124
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/modules/results/small_ent.json", "JSON", 122, 0, 0, 0, 1, 123
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/modules/results/ta.json", "JSON", 41, 0, 0, 0, 1, 42
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/modules/results/tm.json", "JSON", 41, 0, 0, 0, 1, 42
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/modules/results/vms.json", "JSON", 41, 0, 0, 0, 1, 42
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/modules/results/wp.json", "JSON", 41, 0, 0, 0, 0, 41
"Total", "-", 612, 3120, 13070, 43, 32, 16877
